TERM_CODE,TERM,PART_OF_TERM,START_DATE,END_DATE,LEVEL_CODE,CRN,SUBJECT,COURSE,SECTION,COURSE_TITLE,SCHEDULE_TYPE,CAMPUS,DEPARTMENT,INSTRUCTOR,MAX_ENROLLMENT,TOTAL_ENROLLMENT,REMAINING_SEATS,CREDIT_HOUR,SCHED_BUILDING_DESC,SCHED_ROOM_CODE,SCHED_ROOM_DESC,COURSE_DAYS,BEGIN_TIME,END_TIME
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31544,COMP,2000,01A,DATA STRUCTURES,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Liu, Bingyu",24,9,15,4,Willson Hall,102,CLASSROOM: ACTIVE LEARNING,MW,11:00am,12:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31545,COMP,2000,02A,DATA STRUCTURES,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Liu, Bingyu",24,9,15,0,Wentworth Hall,210,CLASSROOM,R,10:00am,11:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31546,COMP,2350,01A,ALGORITHMS,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Othman, Salem",24,21,3,4,Wentworth Hall,214,CLASSROOM,TF,03:30pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31547,COMP,2350,02A,ALGORITHMS,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Othman, Salem",24,21,3,0,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,M,03:00pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31761,COMP,2500,01A,SECURITY PRINCIPLES,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Farooq, Abdullah",24,25,-1,4,Wentworth Hall,004,LAB: NETWORKING,MW,11:00am,12:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31762,COMP,2500,02A,SECURITY PRINCIPLES,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Farooq, Abdullah",24,25,-1,0,Wentworth Hall,004,LAB: NETWORKING,F,10:00am,11:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31785,COMP,3230,01A,GAME ENGINE DEVELOPMENT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Schuster, Micah",24,24,0,4,Annex Central,202,CLASSROOM,MW,11:00am,12:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,32036,COMP,3230,02A,GAME ENGINE DEVELOPMENT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Schuster, Micah",24,24,0,0,CEIS,423,LAB: CYBERSECURITY & FORENSICS,T,11:00am,12:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31763,COMP,3350,01A,PROGRAMMING LANGUAGES,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Kreimendahl, Frank",24,23,1,4,Wentworth Hall,010,LAB: GRAPHICS,MW,08:00am,09:15am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31764,COMP,3350,02A,PROGRAMMING LANGUAGES,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Kreimendahl, Frank",24,23,1,0,Wentworth Hall,010,LAB: GRAPHICS,F,08:00am,09:45am
