term,crn,course_code,subject,course_number,section,title,credits,prerequisites,days,start_time,end_time,schedule_type,instructor,building,room,max_enrollment,total_enrollment,remaining_seats
Summer 2026,31544,COMP2000,COMP,2000,01A,DATA STRUCTURES,4,COMP1050&MATH2300,MW,11:00am,12:15pm,Lecture (LEC),"Liu, Bingyu",Willson Hall,102,24,9,15
Summer 2026,31545,COMP2000,COMP,2000,02A,DATA STRUCTURES,0,COMP1050&MATH2300,R,10:00am,11:45am,Laboratory (LAB),"Liu, Bingyu",Wentworth Hall,210,24,9,15
Summer 2026,31546,COMP2350,COMP,2350,01A,ALGORITHMS,4,COMP2000,TF,03:30pm,04:45pm,Lecture (LEC),"Othman, Salem",Wentworth Hall,214,24,21,3
Summer 2026,31547,COMP2350,COMP,2350,02A,ALGORITHMS,0,COMP2000,M,03:00pm,04:45pm,Laboratory (LAB),"Othman, Salem",CEIS,422,24,21,3
Summer 2026,31761,COMP2500,COMP,2500,01A,SECURITY PRINCIPLES,4, COMP1100|COMP2100,MW,11:00am,12:15pm,Lecture (LEC),"Farooq, Abdullah",Wentworth Hall,4,24,25,-1
Summer 2026,31762,COMP2500,COMP,2500,02A,SECURITY PRINCIPLES,0, COMP1100|COMP2100,F,10:00am,11:45am,Laboratory (LAB),"Farooq, Abdullah",Wentworth Hall,4,24,25,-1
Summer 2026,31785,COMP3230,COMP,3230,01A,GAME ENGINE DEVELOPMENT,4, COMP2350&MATH2860,MW,11:00am,12:15pm,Lecture (LEC),"Schuster, Micah",Annex Central,202,24,24,0
Summer 2026,32036,COMP3230,COMP,3230,02A,GAME ENGINE DEVELOPMENT,0, COMP2350&MATH2860,T,11:00am,12:45pm,Laboratory (LAB),"Schuster, Micah",CEIS,423,24,24,0
Summer 2026,31763,COMP3350,COMP,3350,01A,PROGRAMMING LANGUAGES,4,COMP2000&COMP2350,MW,08:00am,09:15am,Lecture (LEC),"Kreimendahl, Frank",Wentworth Hall,10,24,23,1
Summer 2026,31764,COMP3350,COMP,3350,02A,PROGRAMMING LANGUAGES,0,COMP2000&COMP2350,F,08:00am,09:45am,Laboratory (LAB),"Kreimendahl, Frank",Wentworth Hall,10,24,23,1
Summer 2026,31765,COMP3350,COMP,3350,03B,PROGRAMMING LANGUAGES,4,COMP2000&COMP2350,MW,09:30am,10:45am,Lecture (LEC),"Kreimendahl, Frank",Wentworth Hall,10,24,13,11
Summer 2026,31766,COMP3350,COMP,3350,04B,PROGRAMMING LANGUAGES,0,COMP2000&COMP2350,F,10:00am,11:45am,Laboratory (LAB),"Kreimendahl, Frank",Wentworth Hall,10,24,13,11
Summer 2026,31767,COMP3350,COMP,3350,05C,PROGRAMMING LANGUAGES,4,COMP2000&COMP2350,MW,12:30pm,01:45pm,Lecture (LEC),"Olmsted, Aspen",Wentworth Hall,10,24,24,0
Summer 2026,31768,COMP3350,COMP,3350,06C,PROGRAMMING LANGUAGES,0,COMP2000&COMP2350,F,01:00pm,02:45pm,Laboratory (LAB),"Olmsted, Aspen",Wentworth Hall,10,24,24,0
Summer 2026,31769,COMP3350,COMP,3350,07D,PROGRAMMING LANGUAGES,4,COMP2000&COMP2350,MW,02:00pm,03:15pm,Lecture (LEC),"Olmsted, Aspen",Wentworth Hall,10,24,7,17
Summer 2026,31770,COMP3350,COMP,3350,08D,PROGRAMMING LANGUAGES,0,COMP2000&COMP2350,T,03:00pm,04:45pm,Laboratory (LAB),"Olmsted, Aspen",Wentworth Hall,10,24,7,17
Summer 2026,31771,COMP3400,COMP,3400,01A,OPERATING SYSTEMS,4,COMP1200&COMP2000,MW,11:00am,12:15pm,Lecture (LEC),"Okeke, Kenechukwu",Beatty Hall,418,24,13,11
Summer 2026,31772,COMP3400,COMP,3400,02A,OPERATING SYSTEMS,0,COMP1200&COMP2000,F,10:00am,11:45am,Laboratory (LAB),"Okeke, Kenechukwu",Beatty Hall,418,24,13,11
Summer 2026,31773,COMP3450,COMP,3450,01A,PARALLEL COMPUTING,4,COMP2000&COMP2350&COMP2100,MW,08:00am,09:15am,Lecture (LEC),"Schuster, Micah",CEIS,422,24,23,1
Summer 2026,31774,COMP3450,COMP,3450,02A,PARALLEL COMPUTING,0,COMP2000&COMP2350&COMP2100,R,08:00am,09:45am,Laboratory (LAB),"Schuster, Micah",CEIS,422,24,23,1
Summer 2026,31775,COMP3450,COMP,3450,03B,PARALLEL COMPUTING,4,COMP2000&COMP2350&COMP2100,MW,09:30am,10:45am,Lecture (LEC),"Schuster, Micah",CEIS,422,24,23,1
Summer 2026,31776,COMP3450,COMP,3450,04B,PARALLEL COMPUTING,0,COMP2000&COMP2350&COMP2100,R,10:00am,11:45am,Laboratory (LAB),"Schuster, Micah",CEIS,422,24,23,1
Summer 2026,31777,COMP3450,COMP,3450,05C,PARALLEL COMPUTING,4,COMP2000&COMP2350&COMP2100,TF,11:00am,12:15pm,Lecture (LEC),"Husowitz, Barry",CEIS,422,24,24,0
Summer 2026,31778,COMP3450,COMP,3450,06C,PARALLEL COMPUTING,0,COMP2000&COMP2350&COMP2100,R,01:00pm,02:45pm,Laboratory (LAB),"Husowitz, Barry",CEIS,422,24,24,0
Summer 2026,31779,COMP3450,COMP,3450,07D,PARALLEL COMPUTING,4,COMP2000&COMP2350&COMP2100,TF,02:00pm,03:15pm,Lecture (LEC),"Husowitz, Barry",Annex Central,210,24,11,13
Summer 2026,31780,COMP3450,COMP,3450,08D,PARALLEL COMPUTING,0,COMP2000&COMP2350&COMP2100,W,03:00pm,04:45pm,Laboratory (LAB),"Husowitz, Barry",CEIS,422,24,11,13
Summer 2026,31781,COMP3500,COMP,3500,01A,NETWORK SECURITY,4,COMP2150&COMP2500,TF,08:00am,09:15am,Lecture (LEC),"Robinson, Clifton",Wentworth Hall,214,24,21,3
Summer 2026,31782,COMP3500,COMP,3500,02A,NETWORK SECURITY,0,COMP2150&COMP2500,R,08:00am,09:45am,Laboratory (LAB),"Robinson, Clifton",CEIS,423,24,21,3
Summer 2026,31786,COMP3510,COMP,3510,01A,INTERNET OF THINGS SECURITY,4,COMP2500,TF,11:00am,12:15pm,Lecture (LEC),"Robinson, Clifton",Wentworth Hall,214,24,24,0
Summer 2026,31787,COMP3510,COMP,3510,02A,INTERNET OF THINGS SECURITY,0,COMP2500,R,10:00am,11:45am,Laboratory (LAB),"Robinson, Clifton",Wentworth Hall,10,24,24,0
Summer 2026,31788,COMP3550,COMP,3550,01A,COMPUTER SECURITY,4,COMP2500&COMP3100,TR,02:00pm,03:15pm,Lecture (LEC),"Farooq, Abdullah",CEIS,423,24,24,0
Summer 2026,31789,COMP3550,COMP,3550,02A,COMPUTER SECURITY,0,COMP2500&COMP3100,F,01:00pm,02:45pm,Laboratory (LAB),"Farooq, Abdullah",CEIS,423,24,24,0
Summer 2026,31790,COMP3550,COMP,3550,03B,COMPUTER SECURITY,4,COMP2500&COMP3100,TR,03:30pm,04:45pm,Lecture (LEC),"Farooq, Abdullah",CEIS,423,24,24,0
Summer 2026,31791,COMP3550,COMP,3550,04B,COMPUTER SECURITY,0,COMP2500&COMP3100,F,03:00pm,04:45pm,Laboratory (LAB),"Farooq, Abdullah",CEIS,423,24,24,0
Summer 2026,31792,COMP3575,COMP,3575,01A,SCRIPT'G FOR CYSEC & FORENSICS,4,COMP3100|COMP3400,MW,02:00pm,03:15pm,Lecture (LEC),"Neyaz, Ashar",CEIS,423,24,22,2
Summer 2026,31793,COMP3575,COMP,3575,02A,SCRIPT'G FOR CYSEC & FORENSICS,0,COMP3100|COMP3400,T,05:15pm,07:00pm,Laboratory (LAB),"Neyaz, Ashar",Watson Hall,2,24,22,2
Summer 2026,31794,COMP3590,COMP,3590,01A,APPLIED CRYPTOGRAPHY,4,COMP3100|COMP3400,MW,09:30am,10:45am,Lecture (LEC),"Liu, Bingyu",Beatty Hall,421,24,28,-4
Summer 2026,31795,COMP3590,COMP,3590,02A,APPLIED CRYPTOGRAPHY,0,COMP3100|COMP3400,T,10:00am,11:45am,Laboratory (LAB),"Liu, Bingyu",Beatty Hall,421,24,28,-4
Summer 2026,31796,COMP3590,COMP,3590,03B,APPLIED CRYPTOGRAPHY,4,COMP3100|COMP3400,MW,12:30pm,01:45pm,Lecture (LEC),"Liu, Bingyu",Annex Central,209,24,24,0
Summer 2026,31797,COMP3590,COMP,3590,04B,APPLIED CRYPTOGRAPHY,0,COMP3100|COMP3400,R,05:15pm,07:00pm,Laboratory (LAB),"Liu, Bingyu",Annex Central,209,24,24,0
Summer 2026,31798,COMP3650,COMP,3650,01A,MALWARE ANALYSIS BASICS,4,COMP1200,MW,08:00am,09:15am,Lecture (LEC),"Irfan, Muhammad",Wentworth Hall,4,24,17,7
